,,,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19,2021_05_25,2021_06_09,2021_06_23,2021_07_08,2021_07_19
Treatment_no.,Rep,Factors,NDRE,NDRE,NDRE,NDRE,NDRE,NDVI,NDVI,NDVI,NDVI,NDVI,DIST,DIST,DIST,DIST,DIST,LAI_VI,LAI_VI,LAI_VI,LAI_VI,LAI_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,CCC_VI,RE,RE,RE,RE,RE,NIR,NIR,NIR,NIR,NIR,R,R,R,R,R
T9,R3,V2N2,0.08582553,0.106121436,0.21960168,0.15021285,0.11408184,0.16315743,0.19282143,0.5435086,0.528659,0.26520544,49.342102,46.39371,54.110676,30.664686,46.512726,2.8241494,2.6577144,1.6460339,1.6687946,2.3539453,0.0958298,0.13714287,0.7588135,0.35051283,0.16790907,21.742939,21.401857,22.003153,25.21885,22.344673,25.825806,26.491787,34.559017,34.188206,28.124872,18.580107,17.927,10.20217,10.529436,16.332167
T10,R3,V2N3,0.07255121,0.095706254,0.28819016,0.1737286,0.12939124,0.16555367,0.16163126,0.72956675,0.5102964,0.33834562,48.067707,51.283062,55.640656,46.769413,51.081795,2.825634,2.8415627,1.3261373,1.7219819,2.1474562,0.074902445,0.11281251,1.4434117,0.4491429,0.23256142,22.424294,21.285563,21.596802,23.737745,22.92997,25.879972,25.791378,39.18226,33.803593,29.79335,18.52712,18.61375,6.1038823,10.933803,14.721123
T11,R3,V2N4,0.07946333,0.10214376,0.30501795,0.16140918,0.13664463,0.1668467,0.14343956,0.73325825,0.45236918,0.3237447,36.631165,52.6496,49.694893,52.33287,54.713398,2.7909997,2.9648123,1.3166119,1.8488766,2.167786,0.082233325,0.120125,1.6176414,0.38020012,0.2497143,22.095034,20.671062,20.856804,23.33931,22.324139,25.907967,25.3835,39.226185,32.44505,29.455856,18.498934,19.014334,6.0226116,12.209907,15.042731
T12,R3,V2N5,0.087269686,0.15834899,0.1830204,0.14968918,0.117661834,0.15738182,0.3053941,0.44478774,0.4252865,0.26230183,42.80751,59.639923,52.835518,35.772995,46.168674,2.849333,2.281353,1.8637753,1.9260545,2.3674364,0.09393939,0.34715682,0.5042041,0.35324326,0.17607276,21.57185,20.990097,22.145386,23.410946,22.130129,25.695667,29.04908,32.238796,31.860296,28.059177,18.707245,15.447041,12.376693,12.806162,16.396275
T1,R4,V1N0,0.09507553,0.18115719,0.18709375,0.21547501,0.15734825,0.1684061,0.3676833,0.4479734,0.6128375,0.40594104,50.41706,48.76195,58.387238,37.270634,45.46534,2.797184,2.0488331,1.8322344,1.531475,1.982518,0.1197755,0.45914283,0.5030625,0.85754997,0.45476788,21.465244,21.028973,22.051908,23.30787,22.681377,25.943943,30.464766,32.301815,36.339073,31.46277,18.46435,14.075264,12.306451,8.674975,13.232251
T2,R4,V1N1,0,0.12833726,0.2987377,0.19736068,0.20471528,0,0.2409051,0.82266486,0.72512794,0.6433055,0,52.76876,51.823135,45.875237,53.33513,0,2.513966,1.1959609,1.3272461,1.4460553,0,0.22233903,1.573208,0.6680819,0.65870833,0,21.232391,22.553493,26.179556,24.374195,0,27.5822,41.721096,38.99008,36.89189,0,16.867744,4.0531297,6.201657,8.003848
T3,R4,V1N2,0.34125632,0.1661857,0.2863534,0.20002802,0.16820332,0.17031266,0.36661428,0.7598516,0.7761939,0.5919183,98.149994,48.275528,48.815872,39.675003,52.75893,NaN,2.030857,1.3001168,1.2577599,1.5328333,3.7743604,0.3665239,1.4681166,0.70294,0.44531673,5.727512,21.714382,22.183834,26.954775,25.42798,26.518887,30.427952,40.225082,40.394707,35.66217,18.422516,14.098524,5.4367337,5.07664,9.135967
T4,R4,V1N3,0.094299994,0.09087223,0.3572206,0.20347367,0.18384695,0.1685344,0.19087222,0.8639429,0.80435437,0.6589833,46.59615,49.41161,50.97089,41.73895,49.499268,2.7914066,2.6869442,1.1464444,1.2193508,1.4302578,0.10825001,0.11088889,2.4044602,0.7688244,0.54516655,21.469408,22.020834,20.42186,27.393244,25.733227,25.946281,26.449057,43.10232,41.344635,37.298,18.461721,17.969835,3.1439836,4.456579,7.658621
T5,R4,V1N4,0.08952163,0.21219999,0.23554786,0.19923276,0.18938728,0.15149188,0.5520534,0.5707783,0.5880473,0.53666735,40.779545,78.59875,71.26145,50.560326,53.66172,2.8879726,1.6287333,1.6118262,1.5495634,1.6409453,0.09713514,0.7252,0.95076096,0.62465453,0.52729094,21.36446,22.478136,21.654085,23.727839,23.421415,25.563541,34.7544,35.30613,35.60385,34.37522,18.836948,10.013801,9.60137,9.22111,10.352856
T6,R4,V1N5,0.089078955,0.12430002,0.28337002,0.21273531,0.18011078,0.15341578,0.22763124,0.8214117,0.73992646,0.6208553,43.815426,48.21987,47.56332,49.67664,57.598835,2.8753417,2.5251248,1.2062331,1.3081175,1.4910308,0.096526325,0.19024998,1.4263165,0.7799266,0.5256153,21.418816,21.213314,23.404482,25.661968,25.255125,25.606659,27.2775,42.000687,39.464367,36.38797,18.794683,17.160063,4.080867,5.875662,8.498445
T7,R4,V2N0,0.09507553,0.18115719,0.18709375,0.21547501,0.15734825,0.1684061,0.3676833,0.4479734,0.6128375,0.40594104,50.41706,48.76195,58.387238,37.270634,45.46534,2.797184,2.0488331,1.8322344,1.531475,1.982518,0.1197755,0.45914283,0.5030625,0.85754997,0.45476788,21.465244,21.028973,22.051908,23.30787,22.681377,25.943943,30.464766,32.301815,36.339073,31.46277,18.46435,14.075264,12.306451,8.674975,13.232251
T8,R4,V2N1,0.0988019,0.13838717,0.18317805,0.16948627,0.18331224,0.16711132,0.25350767,0.4240683,0.48627645,0.49610525,48.24823,54.47457,61.452927,37.92974,46.51721,2.8180947,2.4682055,1.8947319,1.7501566,1.7502629,0.14015095,0.26687178,0.48253658,0.42901963,0.5081403,21.254265,20.996614,21.841219,23.5009,22.977053,25.915983,27.870054,31.756514,33.196613,33.43667,18.493113,16.589973,12.833026,11.462805,11.246437
T9,R4,V2N2,0.06803913,0.13315,0.21789542,0.16324887,0.15998068,0.17044783,0.22231303,0.5221561,0.5762325,0.42877555,46.42235,64.012825,61.65009,31.795347,46.139545,2.780413,2.5585215,1.685712,1.6166745,1.8947717,0.0691087,0.21643479,0.73349994,0.43723258,0.37028068,22.689844,20.7455,21.763763,25.35879,22.99446,25.98915,27.158869,34.042244,35.36309,31.863174,18.419521,17.277172,10.672424,9.481467,12.72944
T10,R4,V2N3,0.097249456,0.076286666,0.2983242,0.20422123,0.19024481,0.17900707,0.14053999,0.7136848,0.7336606,0.5742569,55.757404,44.924603,55.67954,41.6753,47.446953,2.7315316,2.9673998,1.3485001,1.3159245,1.607845,0.119228266,0.0752,1.5371971,0.70401514,0.56487924,21.544886,21.729536,20.89818,25.929276,23.897007,26.181595,25.317867,38.774063,39.222782,35.283733,18.230993,19.078468,6.4536514,6.013803,9.524792
T11,R4,V2N4,0.09210001,0.13892858,0.3751291,0.29450673,0.26719534,0.15743142,0.24921834,0.84067094,0.8478628,0.7316907,47.350426,49.462284,56.26455,36.230255,48.230724,2.8512855,2.4455717,1.1819819,1.1672034,1.3206718,0.10202857,0.24416326,2.824837,1.5141184,1.201578,21.362686,20.941366,19.28149,23.209425,22.613703,25.6968,27.766308,42.56296,42.59741,39.14449,18.7062,16.684494,3.656436,3.4981194,6.057125
T12,R4,V2N5,0.09642999,0.2531,0.36242905,0.252744,0.23064032,0.16352002,0.58110005,0.8504545,0.81781,0.67995983,46.905125,45.11423,48.785538,37.57608,47.725044,2.8167574,1.5708463,1.1625636,1.2016197,1.3948871,0.11127143,1.0783076,2.5140002,1.10032,0.8426935,21.2909,21.027617,19.962435,24.82734,23.621435,25.833399,35.466,42.64869,41.534546,37.81187,18.572212,9.374231,3.4411278,4.1602006,7.196515
