,,,2021_05_25,,,,,,,,,2021_06_09,,,,,,,,,2021_06_23,,,,,,,,,2021_07_08,,,,,,,,,2021_07_19,,,,,,,,,,,,
,,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,NDRE,NDVI,DIST,LAI_VI,CCC_VI,RE,NIR,R,,,,,
T11,R3,V2N4,0.07946333,0.1668467,36.631165,2.7909997,0.082233325,22.095034,25.907967,18.498934,,0.10214376,0.14343956,52.6496,2.9648123,0.120125,20.671062,25.3835,19.014334,,0.30501795,0.73325825,49.694893,1.3166119,1.6176414,20.856804,39.226185,6.0226116,,0.16140918,0.45236918,52.33287,1.8488766,0.38020012,23.33931,32.44505,12.209907,,0.13664463,0.3237447,54.713398,2.167786,0.2497143,22.324139,29.455856,15.042731,,,,,
T12,R3,V2N5,0.087269686,0.15738182,42.80751,2.849333,0.09393939,21.57185,25.695667,18.707245,,0.15834899,0.3053941,59.639923,2.281353,0.34715682,20.990097,29.04908,15.447041,,0.1830204,0.44478774,52.835518,1.8637753,0.5042041,22.145386,32.238796,12.376693,,0.14968918,0.4252865,35.772995,1.9260545,0.35324326,23.410946,31.860296,12.806162,,0.117661834,0.26230183,46.168674,2.3674364,0.17607276,22.130129,28.059177,16.396275,,,,,
T1,R4,V1N0,0.09507553,0.1684061,50.41706,2.797184,0.1197755,21.465244,25.943943,18.46435,,0.18115719,0.3676833,48.76195,2.0488331,0.45914283,21.028973,30.464766,14.075264,,0.18709375,0.4479734,58.387238,1.8322344,0.5030625,22.051908,32.301815,12.306451,,0.21547501,0.6128375,37.270634,1.531475,0.85754997,23.30787,36.339073,8.674975,,0.15734825,0.40594104,45.46534,1.982518,0.45476788,22.681377,31.46277,13.232251,,,,,
T2,R4,V1N1,0,0,0,0,0,0,0,0,,0.12833726,0.2409051,52.76876,2.513966,0.22233903,21.232391,27.5822,16.867744,,0.2987377,0.82266486,51.823135,1.1959609,1.573208,22.553493,41.721096,4.0531297,,0.19736068,0.72512794,45.875237,1.3272461,0.6680819,26.179556,38.99008,6.201657,,0.20471528,0.6433055,53.33513,1.4460553,0.65870833,24.374195,36.89189,8.003848,,,,,
T3,R4,V1N2,0.34125632,0.17031266,98.149994,NaN,3.7743604,5.727512,26.518887,18.422516,,0.1661857,0.36661428,48.275528,2.030857,0.3665239,21.714382,30.427952,14.098524,,0.2863534,0.7598516,48.815872,1.3001168,1.4681166,22.183834,40.225082,5.4367337,,0.20002802,0.7761939,39.675003,1.2577599,0.70294,26.954775,40.394707,5.07664,,0.16820332,0.5919183,52.75893,1.5328333,0.44531673,25.42798,35.66217,9.135967,,,,,
T4,R4,V1N3,0.094299994,0.1685344,46.59615,2.7914066,0.10825001,21.469408,25.946281,18.461721,,0.09087223,0.19087222,49.41161,2.6869442,0.11088889,22.020834,26.449057,17.969835,,0.3572206,0.8639429,50.97089,1.1464444,2.4044602,20.42186,43.10232,3.1439836,,0.20347367,0.80435437,41.73895,1.2193508,0.7688244,27.393244,41.344635,4.456579,,0.18384695,0.6589833,49.499268,1.4302578,0.54516655,25.733227,37.298,7.658621,,,,,
T5,R4,V1N4,0.08952163,0.15149188,40.779545,2.8879726,0.09713514,21.36446,25.563541,18.836948,,0.21219999,0.5520534,78.59875,1.6287333,0.7252,22.478136,34.7544,10.013801,,0.23554786,0.5707783,71.26145,1.6118262,0.95076096,21.654085,35.30613,9.60137,,0.19923276,0.5880473,50.560326,1.5495634,0.62465453,23.727839,35.60385,9.22111,,0.18938728,0.53666735,53.66172,1.6409453,0.52729094,23.421415,34.37522,10.352856,,,,,
T6,R4,V1N5,0.089078955,0.15341578,43.815426,2.8753417,0.096526325,21.418816,25.606659,18.794683,,0.12430002,0.22763124,48.21987,2.5251248,0.19024998,21.213314,27.2775,17.160063,,0.28337002,0.8214117,47.56332,1.2062331,1.4263165,23.404482,42.000687,4.080867,,0.21273531,0.73992646,49.67664,1.3081175,0.7799266,25.661968,39.464367,5.875662,,0.18011078,0.6208553,57.598835,1.4910308,0.5256153,25.255125,36.38797,8.498445,,,,,
T7,R4,V2N0,0.09507553,0.1684061,50.41706,2.797184,0.1197755,21.465244,25.943943,18.46435,,0.18115719,0.3676833,48.76195,2.0488331,0.45914283,21.028973,30.464766,14.075264,,0.18709375,0.4479734,58.387238,1.8322344,0.5030625,22.051908,32.301815,12.306451,,0.21547501,0.6128375,37.270634,1.531475,0.85754997,23.30787,36.339073,8.674975,,0.15734825,0.40594104,45.46534,1.982518,0.45476788,22.681377,31.46277,13.232251,,,,,
T8,R4,V2N1,0.0988019,0.16711132,48.24823,2.8180947,0.14015095,21.254265,25.915983,18.493113,,0.13838717,0.25350767,54.47457,2.4682055,0.26687178,20.996614,27.870054,16.589973,,0.18317805,0.4240683,61.452927,1.8947319,0.48253658,21.841219,31.756514,12.833026,,0.16948627,0.48627645,37.92974,1.7501566,0.42901963,23.5009,33.196613,11.462805,,0.18331224,0.49610525,46.51721,1.7502629,0.5081403,22.977053,33.43667,11.246437,,,,,
T9,R4,V2N2,0.06803913,0.17044783,46.42235,2.780413,0.0691087,22.689844,25.98915,18.419521,,0.13315,0.22231303,64.012825,2.5585215,0.21643479,20.7455,27.158869,17.277172,,0.21789542,0.5221561,61.65009,1.685712,0.73349994,21.763763,34.042244,10.672424,,0.16324887,0.5762325,31.795347,1.6166745,0.43723258,25.35879,35.36309,9.481467,,0.15998068,0.42877555,46.139545,1.8947717,0.37028068,22.99446,31.863174,12.72944,,,,,
T10,R4,V2N3,0.097249456,0.17900707,55.757404,2.7315316,0.119228266,21.544886,26.181595,18.230993,,0.076286666,0.14053999,44.924603,2.9673998,0.0752,21.729536,25.317867,19.078468,,0.2983242,0.7136848,55.67954,1.3485001,1.5371971,20.89818,38.774063,6.4536514,,0.20422123,0.7336606,41.6753,1.3159245,0.70401514,25.929276,39.222782,6.013803,,0.19024481,0.5742569,47.446953,1.607845,0.56487924,23.897007,35.283733,9.524792,,,,,
T11,R4,V2N4,0.09210001,0.15743142,47.350426,2.8512855,0.10202857,21.362686,25.6968,18.7062,,0.13892858,0.24921834,49.462284,2.4455717,0.24416326,20.941366,27.766308,16.684494,,0.3751291,0.84067094,56.26455,1.1819819,2.824837,19.28149,42.56296,3.656436,,0.29450673,0.8478628,36.230255,1.1672034,1.5141184,23.209425,42.59741,3.4981194,,0.26719534,0.7316907,48.230724,1.3206718,1.201578,22.613703,39.14449,6.057125,,,,,
T12,R4,V2N5,0.09642999,0.16352002,46.905125,2.8167574,0.11127143,21.2909,25.833399,18.572212,,0.2531,0.58110005,45.11423,1.5708463,1.0783076,21.027617,35.466,9.374231,,0.36242905,0.8504545,48.785538,1.1625636,2.5140002,19.962435,42.64869,3.4411278,,0.252744,0.81781,37.57608,1.2016197,1.10032,24.82734,41.534546,4.1602006,,0.23064032,0.67995983,47.725044,1.3948871,0.8426935,23.621435,37.81187,7.196515,,,,,
